,ts_code,exchange,business_scope
10,603328.SH,SSE,生产经营线路板、HDI(即高密度互连积层板)印刷线路板、液晶显示器及其附件、覆铜板。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
11,688077.SH,SSE,磁性材料及应用产品的研究开发、生产、销售、贸易，技术咨询、服务；本企业生产、科研所需的原辅材料、机器设备、仪器仪表、零配件进出口业务(国家限定公司经营或禁止进出口的商品及技术除外)。
12,300285.SZ,SZSE,生产、销售特种陶瓷粉体材料及制品（不含危险品），对销售后的产品进行技术服务；进出口贸易。（以上经营事项涉及法律法规规定需报批的，凭批准证书经营）
13,002835.SZ,SZSE,数字视频监控系统的研发、制造与销售；安防设备的研发、制造与销售；物联网设备的研发、制造与销售；工业机器人研发、制造与销售；计算机软硬件及外围设备研发、制造与销售；通信设备的研发、制造与销售；网络设备的研发、制造与销售；显示器件制造；智能车载设备的研发、制造与销售；计算机系统服务；物联网技术研发服务及应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)等。
14,300403.SZ,SZSE,家用电器及配件、电子元件、五金制品、塑料制品、模具、机械配件的生产加工及销售；医疗器械的研发、生产、批发及专门零售；卫浴洁具、环保设备的研发、生产、批发及专门零售；新能源汽车及其配件、配套产品的研究、实验、生产、销售；电动汽车充电设施的研发、生产、销售、运营及技术服务；工业机器人、控制设备、节能设备、贮能设备的研发、生产、销售；软件开发、信息技术服务和信息咨询服务；道路货物运输、仓储及配送服务(不含危险化学品)；机械设备租赁；房地产开发、非居住房地产租赁、物业管理；住宿和餐饮服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
15,688022.SH,SSE,设计、研发、组装生产：智能自动化设备；设计、研发、销售：自动化设备零组件、元器件、模块、仪器、软件、硬件；企业管理咨询；从事本公司自产产品的出口业务及所需原材料及设备的进口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
16,300735.SZ,SZSE,生产经营继电器、电话机、数字录放机、宠物用具、多媒体播放器、数码音乐播放器、线路板组件、打印机及其配件、移动通信系统手机及交换设备、汽车车身电子控制系统、第三代及后续移动通信系统手机及其配件、电脑及其配件、LED灯及其配件、数码相机、GPS系统产品、POS刷卡机和网络交换设备及其配件(设限除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
17,605186.SH,SSE,从事信息技术、自动化设备领域的技术开发、技术咨询、技术服务、技术转让，电子产品、网络设备及配件、自动化设备、计算机、软件及辅助设备的批发、零售、自有设备租赁，计算机软件开发，计算机信息系统集成，第一类医疗器械销售，第二类医疗器械销售，第三类医疗器械经营。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
18,300863.SZ,SZSE,汽车电气系统的研发；传感器、电子元器件、汽车部件、电线、电缆的研发、生产和销售；自营和代理货物与技术的进出口，但国家限定公司经营或禁止的进出口货物与技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
19,003033.SZ,SZSE,"链条、链轮、汽车、农业机械、摩托车、游艇、飞机零部件的设计、生产、销售及售后服务;销售:润滑油;货物进出口(国家法律、法规禁止的不得经营,法律、法规限制经营的取得许可后方可经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
20,002662.SZ,SZSE,许可经营项目：生产铝合金零部件及其他汽车零部件。一般经营项目：开发铝合金零部件及其他汽车零部件。维修、销售自产产品；出租办公用房。
21,300438.SZ,SZSE,锂离子电池制造；镍氢电池制造；其他电池制造(光伏电池除外)；电池销售；为电动汽车提供电池充电服务；汽车充电模块销售；充电桩制造；充电桩销售；充电桩设施安装、管理；太阳能发电站建设；太阳能发电站投资；能源技术研究、技术开发服务；能源管理服务；节能技术开发服务；节能技术转让服务；照明灯具制造；灯用电器附件及其他照明器具制造；电器辅件、配电或控制设备的零件制造；电力电子元器件制造；电力电子技术服务；电子产品批发；电子产品零售；电子元器件批发；电子元器件零售；光电子器件及其他电子器件制造；电子产品设计服务；货物进出口(专营专控商品除外)；技术进出口(经营范围涉及法律、行政法规禁止经营的不得经营，涉及许可经营的未获许可前不得经营)。
22,300663.SZ,SZSE,开发、生产电脑软硬件、网络产品；技术咨询、技术服务及售后维修服务；销售自产产品；货物进出口、技术进出口、代理进出口；人力资源服务。(市场主体依法自主选择经营项目，开展经营活动；人力资源服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)
23,603171.SH,SSE,增值电信业务(凭证经营)；服务：计算机软件研究、开发、技术服务，计算机系统集成，成年人的非证书劳动职业技能培训(涉及前置审批的项目除外)，经济信息咨询(除商品中介)，财务信息咨询，企业管理咨询，代理纳税申报，代理记账；批发、零售：计算机软硬件、办公用品；劳务派遣；其他无需报经审核的一切合法项目。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
24,688029.SH,SSE,医疗器械的研发、生产与销售(凭许可证所列事项生产经营)；与本企业业务相关的产品及技术的进出口业务(不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请)；消毒灭菌服务；企业管理咨询服务；自有房屋及设备租赁；网上销售医疗器械。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
25,002575.SZ,SZSE,生产、加工、销售；玩具，塑料制品，五金制品；动漫软件设计、开发、制作；废旧塑料回收、加工；对高新科技项目、文化产业项目、教育产业项目、体育产业项目、文化休闲娱乐服务业、软件业、金融业、租赁和商务服务业的投资；工业产品设计，多媒体和动漫技术的研发，电子信息技术的应用和开发；房屋租赁、机械设备租赁、仪器仪表租赁；创业服务咨询；商品信息咨询、教育咨询(不得从事与学校文化教育课程相关或与升学、考试相关的补习辅导以及自费出国留学中介服务)、投资咨询、会务服务、展览展示服务；电子计算机技术服务、技术开发、技术推广；云计算技术服务，云基础设施服务；软件和信息技术服务；货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)；电子商务、跨境电商，互联网营销策划；许可项目：食品互联网销售，食品经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
26,300500.SZ,SZSE,建筑工程及相应的工程咨询和装饰设计，智能建筑(系统工程设计)，建筑工程勘察，土建设计、电力(变电工程设计)、市政工程(道路、桥隧、排水设计)、园林工程设计、轨道交通设计；城乡规划编制；工程造价咨询；全过程工程咨询；工程项目管理、建筑工程施工总承包及所需建筑材料和设备的销售；从事建筑学、土木工程的技术研究、开发、转让、建筑监理(乙级)；晒图、模型制作、提供建筑学、土木工程建设方面的技术咨询、电算工程测试服务。(以上项目涉及资质的凭资质证书经营)(依法须经批准的项目，经相关部门批准后方可开展经营活动)
27,300220.SZ,SZSE,光机电系列激光设备、激光器的研制、生产、销售及技术服务；数控系统及软件的开发、销售及技术服务；电源系统的开发；数控设备、电源设备的销售及技术服务；货物进出口、技术进出口、代理进出口业务(不含国家禁止或限制进出口的货物或技术)；打印设备制造、打印加工服务；信息系统集成服务；自动售货机的研发、生产、销售、租赁；计算机软硬件的开发、销售及技术服务；房屋租赁；物业管理；水电费代收。(依法须经审批的项目，经相关部门审批后方可开展经营活动)。
28,300767.SZ,SZSE,橡胶减隔震制品、橡胶隔震支座、金属减隔震制品、桥梁支座、桥梁减隔震制品、橡胶减振制品、金属减振制品、抗震支吊架系统、减隔震建筑相关配套产品、速度型消能器、位移型消能器、复合型消能器、调谐质量消能器、金属结构、液压动力机械及元件、其他建筑及安全用金属制品、其他橡胶制品的制造、生产、销售、研究、设计、维修、安装、技术咨询及技术服务；承接建筑物结构加固、改造及钢结构工程施工、机电设备安装；国内贸易、物资供销；货物及技术的进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
29,300596.SZ,SZSE,一般项目：化工产品生产(不含许可类化工产品)；化工产品销售(不含许可类化工产品)；专用化学产品制造(不含危险化学品)；专用化学产品销售(不含危险化学品)；合成材料制造(不含危险化学品)；合成材料销售；新型催化材料及助剂销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业工程设计服务；新材料技术研发；工程和技术研究和试验发展。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：危险化学品生产。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)
30,601601.SH,SSE,控股投资保险企业；监督管理控股投资保险企业的各种国内、国际再保险业务；监督管理控股投资保险企业的资金运用业务；经批准参加国际保险活动。
31,605088.SH,SSE,货物进出口；进出口代理；道路货物运输(不含危险货物)；汽车零部件及配件制造；汽车零配件零售；汽车零部件研发；汽车零配件批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；机械设备销售；机械设备租赁；普通货物仓储服务(不含危险化学品等需许可审批的项目)；住房租赁；非居住房地产租赁；润滑油销售；石油制品销售(不含危险化学品)；网络技术服务；组织文化艺术交流活动；市场营销策划；信息系统集成服务；装卸搬运；信息咨询服务(不含许可类信息咨询服务)；社会经济咨询服务；包装服务；仓储设备租赁服务；运输设备租赁服务；智能控制系统集成；办公服务；软件开发；报关业务；国际货物运输代理；从事语言能力、艺术、体育、科技等培训的营利性民办培训服务机构(除面向中小学生开展的学科类、语言类文化教育培训)；金属材料销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
32,300283.SZ,SZSE,贵金属合金材料(强电电触点、弱电微触点)，电器配件生产、加工、销售；金属材料销售；货物进出口、技术进出口，产品检测与评定认可(范围及期限详见《认可证书》)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
33,002781.SZ,SZSE,建筑装修装饰工程专业承包壹级；建筑装饰工程设计专项甲级；建筑幕墙工程专业承包壹级；建筑幕墙工程设计专项甲级；建筑机电安装工程专业承包壹级；电子与智能化工程专业承包壹级；消防设施工程专业承包贰级；消防设施工程设计专项乙级；建筑工程施工总承包；钢结构工程专业承包(凭资质证书经营)；承包境外建筑装修装饰、建筑幕墙、建筑智能化工程和境内国际招标工程；上述境外工程所需的设备、材料出口；建筑材料、装饰材料、消防器材及装饰灯具的购销；从事货物、技术进出口业务(不含分销、国家专营专控商品)；太阳能、光伏设备安装工程(凭建设部门颁发的相关资质证书经营)；洁净工程；建筑新材料的研发和购销；建筑玻璃幕墙节能智能化技术的研发、绿色节能环保材料的研发、销售；计算机系统集成服务；建筑智能化系统服务；计算机软件的设计、研发及销售；物联网技术的研发与应用服务；互联网、云计算软件与平台服务；供应链管理及相关配套服务；健康科技领域的技术开发、咨询服务；自有房屋租赁；物业管理等。对外派遣实施上述境外工程所需的劳务人员(按《对外承包工程资格证书》经营)
34,002620.SZ,SZSE,建筑装饰设计、建筑幕墙设计、消防设施设计、建筑工程施工、市政工程施工、建筑装修装饰工程施工、建筑幕墙工程施工、电子与智能化工程施工、建筑机电安装工程施工、钢结构工程施工、消防设施工程施工、古建筑工程施工、城市及道路照明工程施工；安全技术防范系统设计、施工、维修；特种流璃沙涂料系列产品的生产、加工、销售(生产场所营业执照另行申办)；家私配套产品、建筑装饰材料的购销；园林绿化工程的设计与施工(以上各项凭建筑企业资质证书经营)；经营进出口业务；医疗器械销售、经营(二类、三类)；新能源技术开发、建设及光伏发电系统集成、项目施工、安装。
35,600959.SH,SSE,许可经营项目：第二类增值电信业务中的信息服务业务(不含固定电话声讯服务、移动网和固定网信息服务)，第二类增值电信业务中的因特网接入服务业务(以上经营范围按增值电信业务经营许可证所列业务覆盖范围经营)。一般经营项目：广播电视传输网络建设、改造、经营、维护和管理，广播电视的频道集成及传输，广播电视及信息网络技术开发、咨询、服务，广播电视设备及信息设备代理、销售及租赁，对广播、电影、电视、信息、传媒等产业进行投融资及其管理。
36,300552.SZ,SZSE,计算机与电子信息、无线数据终端、车联网终端产品、车载无线终端产品、机动车检测、光电子产品及雷达、车用电子产品、集成电路产品、微电子产品、半导体材料及器件的技术开发、技术服务、技术咨询；系统集成；产品设计；集成电路设计；集成电路芯片设计；产品安装；专业承包；销售自产产品；技术进出口；以下项目限分支机构经营：生产加工(装配)智能控制系统、控制仪表系统、载波通信传输设备、通信发射机、接收机、公路交通数据采集器、车载电子标签(OBU)、路侧读写单元(RSU)、自动化计量设备。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)
37,300571.SZ,SZSE,许可项目：第二类增值电信业务；出版物出版；网络文化经营；广播电视节目制作经营；音像制品制作；电视剧制作；电子出版物制作；信息网络传播视听节目；电影发行；广播电视节目传送；消防设施工程施工；各类工程建设活动；广播电视传输设备制造；卫星电视广播地面接收设施安装服务；建筑智能化工程施工(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：电机制造；微特电机及组件制造；光缆制造；光纤制造；计算机软硬件及外围设备制造；信息安全设备制造；通信设备制造；智能家庭网关制造；移动通信设备制造；光通信设备制造；服务消费机器人制造；音响设备制造；智能车载设备制造；数字家庭产品制造；家用电器研发；家用电器销售；影视录放设备制造；集成电路销售；集成电路芯片及产品制造；电子元器件制造；移动终端设备制造；终端测试设备制造；网络设备制造；广播电视设备制造(不含广播电视传输设备)；光电子器件制造；数字视频监控系统制造；智能机器人销售；人工智能硬件销售；汽车零配件零售；计算机软硬件及辅助设备批发；通讯设备销售；电子元器件批发；国内贸易代理；互联网销售(除销售需要许可的商品)；电线、电缆经营；光学仪器销售；光纤销售；光通信设备销售；光缆销售；光电子器件销售；电子元器件与机电组件设备销售；计算器设备销售；软件销售；电子产品销售；终端测试设备销售；智能仪器仪表销售；智能车载设备销售；物联网设备销售；移动终端设备销售；移动通信设备销售；音响设备销售；信息安全设备销售；卫星移动通信终端销售；数字视频监控系统销售；通讯设备修理；物联网设备制造；智能家庭消费设备制造；智能家庭消费设备销售；对外承包工程；广播影视设备销售；电子真空器件制造；电子元器件零售；电力电子元器件销售；电子真空器件销售；集成电路芯片及产品销售；卫星移动通信终端制造；云计算设备制造；虚拟现实设备制造；可穿戴智能设备制造；体育消费用智能设备制造；软件开发；通信设备销售；家用视听设备销售；电子专用设备销售；云计算设备销售；信息系统集成服务；计算机系统服务；广播电视传输设备销售，市场营销策划；健康咨询服务(不含诊疗服务)；摄像及视频制作服务；会议及展览服务；礼仪服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
38,300446.SZ,SZSE,磁记录材料(包括:磁条、磁记录纸、航空判读带、航空磁带)、热敏纸、压印箔、电子功能材料、光电子材料、电磁波防护多功能膜、防伪功能性膜及涂层材料、导电导热膜及涂层材料、高性能膜材料、水处理剂和合成树脂的研发、制造、加工、销售(监控、易制毒、化学试剂、危险化学品及需取得前置行政许可的除外)；软件及辅助设备的研发与销售；机械设备租赁；房屋租赁；技术咨询与服务;货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)。
39,300398.SZ,SZSE,高性能涂料研发与中试，自研技术的转让；集成电路制造封装焊接材料的研发与中试、加工、销售；光电材料的研发与中试、加工、销售；电子零件用及各种相关用途的环氧塑封成型材料的销售，化学品(危险品限许可证规定范围)、电子元器件的批发、进出口、佣金代理(拍卖除外)，并提供技术咨询、售后服务等相关的配套服务。(不涉及国营贸易管理商品，涉及危险化学品、配额、许可证管理、专项规定、质检、安检管理等要求的，需按照国家有关规定取得相应许可后开展经营业务)。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
40,603859.SH,SSE,制造全数字式低、中高压晶闸管固态软起动器柜和集成高中低压变频器、无功补偿、电能质量设备、电控设备及电源设备；组装电控设备；技术开发；技术服务；技术推广；技术咨询(中介除外)；软件开发；计算机系统服务；物联网技术开发、技术咨询(中介除外)；计算机系统集成；维修机电设备；能源管理；产品设计；模型设计；航空航天技术开发；力学环境试验设备技术开发；电动汽车充电设备技术开发；销售电气设备、机械设备、机电设备、撬装设备、充电设备、车载电子产品、安全技术防范产品、仪器仪表、电线电缆；货物进出口、技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)、代理进出口；施工总承包、专业承包；安装机电设备；出租办公用房。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)
41,300459.SZ,SZSE,广播电视节目制作(凭许可证经营)，经营演出及经纪业务(凭许可证经营)，音像制品的批发(凭许可证经营)，互联网游戏经营(凭有效《网络文化经营许可证》和《增值电信业务许可证》经营)，文化娱乐产业投资，有色金属、文化用品的销售，进出口业务贸易，计算机软硬件的设计、开发、销售，网络技术的技术开发、技术咨询、技术服务，游戏开发，图文设计制作，设计、制作、代理、发布国内各类广告，会展服务，文艺活动的组织、策划，影视文化信息咨询，摄影服务，体育运动项目经营，艺术创作，主题乐园的开发、建设、经营，网络产品、动漫产品的开发、销售，电子产品、通讯产品及配件的销售、服务，经营性互联网文化服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
42,300615.SZ,SZSE,射频元器件、光电子元器件、精密零部件的开发；精密模具设计；机电一体化产品设计与开发；销售自产产品；国内贸易(不含专营、专控、专卖商品)；房屋租赁；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)
43,300309.SZ,SZSE,技术开发、技术服务、技术咨询；为石油和天然气开采提供服务；企业管理服务；经济贸易咨询；货物进出口；技术进出口；代理进出口；销售石油设备及配件、机械设备、计算机软硬件、7号燃料油、润滑油、沥青、金属矿石、非金属矿石、饲料、日用品；销售食品、化工产品。(企业依法自主选择经营项目，开展经营活动；销售食品、化工产品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)
44,300341.SZ,SZSE,绝缘制品制造；配电开关控制设备制造；其他输配电及控制设备制造；其他电工器材制造；其他未列明电气机械及器材制造；经营各类商品和技术的进出口(不另附进出口商品目录)，但国家限定公司经营或禁止进出口的商品及技术除外；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(不另附进出口商品目录)，但国家限定公司经营或禁止进出口的商品及技术除外；其他未列明批发业(不含需经许可审批的经营项目)；自有房地产经营活动；电气信号设备装置制造；铁路机车车辆配件制造；铁路专用设备及器材、配件制造；城市轨道交通设备制造；物业管理；企业总部管理；单位后勤管理服务；其他未列明企业管理服务(不含须经审批许可的项目)。
45,603329.SH,SSE,实业投资，投资管理，资产管理，从事货物及技术的进出口业务，金属材料、化工原料及产品(危险化学品详见许可证)、矿产品、煤炭、机电产品、谷物、豆及薯类、畜牧渔业饲料、棉、麻的销售，计算机软硬件的研发、销售，货运代理。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
46,603007.SH,SSE,生态景观的规划设计、城乡规划设计、旅游规划设计、建筑设计、市政工程设计，园林绿化的施工与养护；市政公用工程、园林古建筑工程、城市及道路照明工程、公路工程、水利水电工程、空气净化工程、河湖整治工程、堤防工程、建筑工程、土石方工程、环保工程、机电安装工程的施工；花卉苗木的种养植；房屋、场地租赁；生态湿地开发修复与保护，土壤修复，水环境生态治理。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
47,688059.SH,SSE,硬质合金制品、硬质合金数控刀具、整体刀具、金属陶瓷、超硬刀具、工具系统、工具镀膜、工具外包服务、硬质合金材料研究、生产与销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
48,002658.SZ,SZSE,许可经营项目：制造仪器、仪表。一般经营项目：技术开发、技术推广、技术转让、技术咨询、技术服务、技术培训；销售机械设备、计算机软件及辅助设备、电子产品、汽车；应用软件服务、基础软件服务；货物进出口、技术进出口、代理进出口；出租办公用房；租赁环境保护专用设备；无人驾驶航空器及相关产品装配、改装、销售、租赁、维修及机务保障服务。
49,600996.SH,SSE,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可(审批)的，经审批机关批准后凭许可(审批)文件经营;法律、法规、国务院决定规定无需许可(审批)的，市场主体自主选择经营。完成国家要求广播电视网络服务宣传、文化、教育等方面的各项任务；对全省广播电视网络进行建设、开发、运营和管理；在全省范围内开展模拟广播电视、数字广播电视节目与信息传输业务；利用有线电视网络向有条件的农村延伸、覆盖；广播电视节目制作；互联网信息服务；经营电信业务；支持国家“村村通、户户通广播电视工程”；电影放映；广告设计、制作、代理、发布及营销策划；从事通信工程、电子与智能化工程以及卫星定位系统、数字化联网报警监控系统、智能安防系统、应急广播系统工程的设计、施工、维修及运营服务；计算机网络和语言信息网络的设计、施工、维修、运营及广播电视网络信息服务及增值电信业务；开展广播电视及信息网络的技术和产品研发、全媒体内容集成制作、生产、销售及服务；国内外广播电视及信息网络设备器材的代理、经销；五金产品批发；计算机、软件及辅助设备批发；通讯及广播电视设备批发；其他机械设备及电子产品批发；厨房用具及日用杂品零售；其他日用品零售；文具用品零售；体育用品及器材零售；图书、报刊零售；音像制品及电子出版物零售；摩托车、零配件销售；家用视听设备零售；日用家电设备零售；计算机、软件及辅助设备零售；通信设备零售；其他电子产品零售；五金零售；灯具零售；卫生洁具零售。(具体以市场监督管理部门核准为准)
50,603722.SH,SSE,丙烯酸树脂、聚酯树脂、脂环族环氧树脂、改性环氧树脂、脂肪胺、聚酯光学材料的研发、生产、销售；国内贸易(不含国内限制及禁止类项目)；自营和代理各类商品和技术的进出口业务(但国家限定公司经营或禁止进出口的商品及技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
51,300670.SZ,SZSE,电气设备、配电网自动化设备、电网安全稳定控制设备、继电保护及自动控制装置、继电器、中压开关及开关柜、电力管理信息系统、电力通信设备的开发、设计、制造、销售及服务，计算机、仪器仪表、电讯器材批发兼零售，电力及相关信息技术咨询服务，新能源发电项目投资、开发、转让、建设、运营及管理服务，新能源相关设备材料的销售，新能源系统设计、咨询、施工及集成，储能设备技术、能源测控设备技术等的开发及技术服务，自营和代理各类商品及技术的进出口业务(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
52,688699.SH,SSE,一般经营项目是：集成电路的生产；集成电路及相关电子应用产品、电子信息产品的设计、技术开发和相关技术服务(不含限制项目)；国内商业、物资供销业(不含专营、专控、专卖商品)；经营进出口业务(须取得主管部门的资格证书后方可经营)。
53,002796.SZ,SZSE,研发、生产、销售精密机械、精密钣金、五金件、冲压件、模具、电梯轿厢、观光梯轿厢及其他电梯轿厢、扶梯及电梯相关部件、医疗器械及成套设备、汽车用精密结构件、航空用精密结构件、通讯用精密结构件等各类精密结构件、金融设备柜体、通讯控制柜、新能源控制柜及各类控制柜、电气柜；经营本企业生产、科研所需的原辅材料；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)；自有房屋租赁。医用口罩生产；医用口罩零售；医用口罩批发；日用口罩(非医用)生产；日用口罩(非医用)销售；劳动保护用品生产；劳动保护用品销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
